Catalog;HIP;RAhms;DEdms;RAdeg;DEdeg;
H;40461;08 15 41.75;+00 42 29.4;123.92393954;+00.70816733;
H;40462;08 15 42.12;+66 10 32.8;123.92549768;+66.17578886;
H;40463;08 15 42.41;-44 19 22.4;123.92672692;-44.32287865;
H;40464;08 15 42.51;-29 09 25.0;123.92713343;-29.15694174;
H;40465;08 15 45.16;-10 26 54.0;123.93815101;-10.44833717;
H;40466;08 15 45.76;-30 34 44.5;123.94065059;-30.57902164;
H;40467;08 15 46.14;+62 07 56.4;123.94225126;+62.13233051;
H;40468;08 15 48.34;-07 20 11.2;123.95140551;-07.33644502;
H;40469;08 15 48.54;+02 48 05.0;123.95225984;+02.80137746;
H;40470;08 15 48.62;+35 56 21.5;123.95258129;+35.93930676;
H;40471;08 15 49.19;+20 44 45.0;123.95495332;+20.74583466;
H;40472;08 15 49.40;+32 10 38.1;123.95583335;+32.17724663;
H;40473;08 15 49.50;+02 47 58.8;123.95624444;+02.79967456;
H;40474;08 15 50.52;+60 22 50.1;123.96049771;+60.38058320;
H;40475;08 15 51.02;-64 29 06.6;123.96257456;-64.48515945;
H;40476;08 15 52.57;-30 55 33.3;123.96905389;-30.92591456;
H;40478;08 15 52.86;-46 18 44.6;123.97027083;-46.31239782;
H;40477;08 15 52.90;+50 47 08.6;123.97040782;+50.78571507;
H;40479;08 15 53.31;+02 27 25.6;123.97214119;+02.45710183;
H;40480;08 15 56.24;-31 09 16.1;123.98434544;-31.15447038;
H;40481;08 15 56.93;+44 16 38.4;123.98718956;+44.27732308;
H;40482;08 15 58.28;+49 46 19.4;123.99282082;+49.77206405;
H;40483;08 15 58.45;+18 41 38.2;123.99355030;+18.69393199;
H;40485;08 15 58.83;-35 54 11.5;123.99511855;-35.90320668;
H;40484;08 15 58.84;+29 38 39.0;123.99518553;+29.64416750;
H;40486;08 15 59.04;-30 11 04.4;123.99601767;-30.18454344;
H;40487;08 15 59.34;-19 24 29.6;123.99726021;-19.40821676;
H;40488;08 15 59.49;+40 33 40.5;123.99789104;+40.56124147;
H;40489;08 16 00.41;+73 42 40.3;124.00172005;+73.71119676;
H;40490;08 16 01.47;-49 11 07.0;124.00614570;-49.18528280;
H;40491;08 16 02.16;+49 54 11.1;124.00900563;+49.90307315;
H;40492;08 16 02.50;+47 33 35.4;124.01041797;+47.55984184;
H;40493;08 16 03.41;-44 12 40.6;124.01421308;-44.21128106;
H;40494;08 16 03.66;-46 40 31.0;124.01525124;-46.67528587;
H;40495;08 16 05.59;-57 16 09.3;124.02328827;-57.26926055;
H;40496;08 16 05.87;-33 43 27.2;124.02446106;-33.72421935;
H;40497;08 16 06.66;+57 05 40.8;124.02774101;+57.09467911;
H;40498;08 16 06.66;-05 14 33.1;124.02774956;-05.24253947;
H;40499;08 16 07.35;+07 42 31.9;124.03061398;+07.70886884;
H;40500;08 16 07.50;+03 47 47.5;124.03126336;+03.79654089;
H;40501;08 16 08.20;+01 18 08.7;124.03417002;+01.30242701;
H;40502;08 16 09.52;-73 08 59.2;124.03967811;-73.14979119;
H;40503;08 16 09.87;+46 48 08.0;124.04112513;+46.80222539;
H;40504;08 16 10.45;-43 38 12.7;124.04353503;-43.63684728;
